,original_title,overview,region_final,release_date,genre_final,cast_final,director
3687,Without Men,The women of a remote Latin American town are forced to pick up the pieces and remake their world when all the town's men are forcibly recruited by communist guerrillas.,United States of America,2011-06-29,Comedy,"['Rosalba', 'Gordon', 'Priest Rafael', 'Cleotilde', 'Cecilia', 'Virgelina', 'Lucrecia', 'le prêtre Rafael jeune', 'Campo Elias', 'Camacho', 'la patronne', 'Magnolia', 'Ubaldina', 'Nadja', ""Boss' Assistant""]",
3688,Dear Frankie,"Nine-year-old Frankie and his single mum Lizzie have been on the move ever since Frankie can remember, most recently arriving in a seaside Scottish town. Wanting to protect her deaf son from the truth that they've run away from his father, Lizzie has invented a story that he is away at sea on the HMS Accra. Every few weeks, Lizzie writes Frankie a make-believe letter from his father, telling of his adventures in exotic lands. As Frankie tracks the ship's progress around the globe, he discovers that it is due to dock in his hometown. With the real HMS Accra arriving in only a fortnight, Lizzie must choose between telling Frankie the truth or finding the perfect stranger to play Frankie's father for just one day...",United Kingdom,2004-05-18,Drama,"['The Stranger', 'Lizzie', 'Frankie', 'Marie', 'Miss MacKenzie', 'Catriona', 'Nell', 'Davey', 'Ally', 'Janet', 'Waitress', 'Serious Girl', 'Librarian', 'Post Office Clerk']",
3689,All Hat,"An ex-con returns to his rural Ontario roots and outwits a corrupt and wealthy thoroughbred owner trying to take over a slew of local farms. Ray Dokes, a charming ex-ballplayer, returns from jail to discover the rural landscape of his childhood transformed by urban development. Determined to stay out of trouble, Ray heads to the farm of his old friend Pete Culpepper, a crusty Texas cowboy who trains losing racehorses and whose debts are growing faster than his corn.",Canada,2007-09-11,Action,"['Chrissie', 'Ray Dokes', 'Pete Culpepper', 'Etta Parr', 'Jim Burns', 'Jackson Jones']",
3690,Le Nom des gens,"Bahia Benmahmoud, a free-spirited young woman, has a particular way of seeing political engagement, as she doesn't hesitate to sleep with those who don't agree with her to convert them to her cause - which is a lot of people, as all right-leaning people are concerned. Generally, it works pretty well. Until the day she meets Arthur Martin, a discreet forty-something who doesn't like taking risks. She imagines that with a name like that, he's got to be slightly fascist. But names are deceitful and appearances deceiving..",France,2010-11-24,Drama,"['Arthur Martin', 'Bahia Benmahmoud', 'Mohamed Benmahmoud, le père de Bahia', ""Lucien Martin, le père d'Arthur"", 'Cécile Benhmamoud, la mère de Bahia', ""Annette Martin, la mère d'Arthur"", 'Annette à 30 ans', 'Nassim', 'Hassan Hassini', 'Arthur Martin adolescent', 'Arthur Martin enfant', 'Bahia Benmahmoud enfant', 'Annette enfant', 'Le pianiste', ""Une ado, la première copine d'Arthur"", ""La femme qui n'a jamais voté""]",
3691,Treading Water,"At first glance, Mica seems a perfectly normal boy. But first glances can often be deceiving... For one, Mica's house is now a museum honouring Guillermo Garibai, the legendary Mexican crooner. Mica spends most of his time there, giving guided tours to aging Garibai fans. But stranger still, Mica smells. He smells like fish. Numerous doctors, his life-long therapist and even his own parents are at a loss. No one wants to be Mica's friend. Girls won't talk to him. His life appears pointless, uneventful, doomed. That is, until Laura walks into it.",Canada,2013-09-13,Drama,"['Mica', 'Laura', 'Sophie', 'Richard', 'The Lifeguard', 'Guillermo Garibai', 'Catherine']",
3692,Savage Grace,"This examination of a famous scandal from the 1970s explores the relationship between Barbara Baekeland and her only son, Antony. Barbara, a lonely social climber unhappily married to the wealthy but remote plastics heir Brooks Baekeland, dotes on Antony, who is homosexual. As Barbara tries to ""cure"" Antony of his sexuality -- sometimes by seducing him herself -- the groundwork is laid for a murderous tragedy.",United States of America,2007-05-18,Drama,"['Barbara Baekeland', 'Brooks Baekeland', 'Tony Baekeland', 'Blanca', 'Sam Green', 'Nini Daly', 'Aschwin Lippe', 'Midge Vanden Heuvel', 'Joost Vanden Heuvel', 'Simone Lippe', 'Carlos Durán', 'Pilar Durán', 'Jean Pierre Souvestre', 'Black Jake Martínez', 'Lorna Moffat']",
3693,Out of the Blue,"Ordinary people find extraordinary courage in the face of madness. On 13–14 November 1990 that madness came to Aramoana, a small New Zealand seaside town, in the form of a lone gunman with a high-powered semi-automatic rifle. As he stalked his victims the terrified and confused residents were trapped for 24 hours while a handful of under-resourced and under-armed local policemen risked their lives trying to find him and save the survivors. Based on true events.",New Zealand,2006-10-12,Drama,"['Nick Harvey', 'Julie-Anne Bryson', 'Garry Holden', 'David Gray', 'Helen Dickson', 'Paul Knox', 'Stu Guthrie', 'Chiquita Holden', 'Stacey Percy', 'Jimmy Dickson', 'Bank Manager', 'Dion Percy', 'Ross Percy', 'AOS / ATS Officer', ""Garry Holden's Mother"", 'Brian Wilson', 'Rene Aarsen', 'Leo Wilson', 'Dorothy Crimp', 'Aleki Tali', 'Chris Cole', 'Darren Buist', 'Darren Gibbs']",
3694,Police Academy,"New rules enforced by the Lady Mayoress mean that sex, weight, height and intelligence need no longer be a factor for joining the Police Force. This opens the floodgates for all and sundry to enter the Police Academy, much to the chagrin of the instructors. Not everyone is there through choice, though. Social misfit Mahoney has been forced to sign up as the only alternative to a jail sentence and it doesn't take long before he falls foul of the boorish Lieutenant Harris. But before long, Mahoney realises that he is enjoying being a police cadet and decides he wants to stay... while Harris decides he wants Mahoney out!",United States of America,1984-03-22,Comedy,"['Cadet Carey Mahoney', 'Cadet Karen Thompson', 'Lt. Thaddeus Harris', 'Cadet Moses Hightower', 'Cadet Leslie Barbara', 'Cmndt. Eric Lassard', 'Cadet George Martín', 'Cadet Eugene Tackleberry', 'Sgt. Debbie Callahan', 'Cadet Larvelle Jones', 'Mrs. Fackler', 'Cadet Douglas Fackler', 'Capt. Reed', 'Cadet Chad Copeland', 'Cadet Kyle Blankes', 'Laverne Hooks', 'Booking Sergeant', 'Mrs. Thompson', 'Hooker']",
3695,The Blue Lagoon,"Two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. Soon, however, the cook dies and the young boy and girl are left on their own. Days become years and Emmeline (Brooke Shields) and Richard (Christopher Atkins) make a home for themselves surrounded by exotic creatures and nature's beauty. But will they ever see civilization again?",United States of America,1980-07-05,Romance,"['Emmeline', 'Richard', 'Paddy Button', 'Arthur Lestrange', 'Lookout', 'Officer', 'Young Emmeline', 'Young Richard', 'Little Paddy', 'Infant Paddy', 'Sailor', 'Sailor', 'Sailor']",
3696,Four Weddings and a Funeral,Four Weddings And A Funeral is a British comedy about a British Man named Charles and an American Woman named Carrie who go through numerous weddings before they determine if they are right for one another.,United Kingdom,1994-03-09,Comedy,"['Charles', 'Carrie', 'Tom', 'Gareth', 'Matthew', 'Fiona', 'David', 'Scarlett', 'Father Gerald', 'Henrietta', 'Angus', 'Laura', 'Vicar', ""Laura's Mother"", ""Laura's Father"", 'George the Boor at The Boatman', 'Frightful Folk Duo', 'Best Man', 'Bernard the Groom - Wedding Two', 'Lydia the Bride - Wedding Two', 'Hamish - Wedding Two', 'Naughty Nicki - Wedding Two', 'Henrietta - Wedding Two', 'Shop Assistant - Wedding Two', 'Lord Hibbott - Wedding Two', 'Sir John Delaney - Wedding Two', 'Vicar - Wedding Three', 'Best Man - Wedding Three', 'Miss Piggy - Wedding Two']",
3697,Fast Times at Ridgemont High,"Follows a group of high school students growing up in southern California, based on the real-life adventures chronicled by Cameron Crowe. Stacy Hamilton and Mark Ratner are looking for a love interest, and are helped along by their older classmates, Linda Barrett and Mike Damone, respectively. The center of the film is held by Jeff Spicoli, a perpetually stoned surfer dude who faces off with the resolute Mr. Hand, who is convinced that everyone is on dope.",United States of America,1982-08-13,Comedy,"['Jeff Spicoli', 'Stacy Hamilton', 'Brad Hamilton', 'Linda Barrett', ""Mark 'Rat' Ratner"", 'Mike Damone', 'Mr. Hand', 'Arnold', 'Mr. Vargas', 'Lisa', 'Ron Johnson', 'Charles Jefferson', 'Cindy', 'Dennis Taylor', 'Pat Bernardo', 'Stoner Bud', 'Robber', ""Brad's Bud"", 'Curtis Spicoli', 'Greg', 'Stoner Bud', 'Dina Phillips', 'Dr. Miller', 'Desmond', 'Pirate King', 'Pizza Guy', ""Perry's Pizza Waitress"", 'Businessman', 'Beautiful Girl in Car', 'Mrs. Vargas', 'Playmate', 'Playmate', 'Angry Twin', 'Angry Twin']",
3698,Moby Dick,"In 1841, young Ishmael signs up for service abroad the Pequod, a whaler sailing out of New Bedford. The ship is under the command of Captain Ahab, a strict disciplinarian who exhorts his men to find Moby Dick, the great white whale. Ahab lost his his leg to that creature and is desperate for revenge. As the crew soon learns, he will stop at nothing to gain satisfaction.",United States of America,1956-06-27,Adventure,"['Captain Ahab', 'Ishmael', 'Starbuck', 'Captain Boomer', 'Stubbs', 'The Manxman', 'Queequeg', 'Peleg', 'Father Mapple', 'Barman']",
3699,25th Hour,"The filmed adaptation from David Benioff's novel of the same name. Set in New York, a convicted drug dealer named Monty has one day left of freedom before he is sent to prison. Anger, blame, frustration, betrayal, guilt and loneliness are themes on this last day of friends, family, parties, saying goodbye, and setting things straight. A Spike Lee joint.",United States of America,2002-12-16,Crime,"['Monty Brogan', 'Jacob Elinsky', 'Frank Slaughtery', 'Naturelle Riviera', ""Mary D'Annuzio"", 'James Brogan', 'Kostya Novotny', 'Uncle Nikolai', 'Senka Valghobek', 'Agent Flood', 'Agent Cunningham', 'Khari', 'Salvatore Dominick', 'Marcuse', 'Daphne', 'Dasha', 'Coventry Administrator', 'Agent Allen']",
3700,Bound,"Corky, a tough female ex con and her lover Violet concoct a scheme to steal millions of stashed mob money and pin the blame on Violet's crooked boyfriend Caeser.",United States of America,1996-09-13,Crime,"['Violet', 'Corky', 'Caesar', 'Mickey Malnato', 'Johnnie Marzzone', 'Gino Marzzone', 'Sue, Bartender', 'Jesse', 'Woman Cop', 'Shelly', 'Lou', 'Cop #1', 'Cop #2', 'Roy']",
3701,Requiem for a Dream,The hopes and dreams of four ambitious people are shattered when their drug addictions begin spiraling out of control. A look into addiction and how it overcomes the mind and body.,United States of America,2000-10-27,Crime,"['Sara Goldfarb', 'Harry Goldfarb', 'Marion Silver', 'Tyrone C. Love', 'Tappy Tibbons', 'Ada', 'Rae', 'Mrs. Pearlman', 'Mrs. Scarlini', 'Mr. Rabinowitz', 'Mrs. Ovadia', 'Mrs. Miles', 'Dr. Pill', ""Tyrone's Mother"", 'Malin & Block Secretary', 'Dr. Spencer', 'Big Tim', 'Southern Doctor', 'Court Doctor', 'Visitor', 'Angelic Nurse', 'Uncle Hank', 'Big Tim Party Girl', 'Big Tim Party Girl', 'E.R. Doctor', 'Ward Attendant Seto', 'Prison Guard']",
3702,State Fair,"During their annual visit to the Iowa State Fair, the Frake family enjoy many adventures. Proud patriarch Abel (Charles Winninger) has high hopes for his champion swine Blueboy; and his wife Melissa (Fay Bainter) enters the mincemeat and pickles contest...with hilarious results.",United States of America,1945-08-29,Music,"['Margy Frake', 'Pat Gilbert', 'Wayne Frake', 'Emily Edwards', 'Abel Frake', 'Melissa Frake', 'Hippenstahl', 'McGee', 'Dave Miller', 'Barker', 'Eleanor', 'Tommy Thomas', 'Harry Ware']",
3703,"Tango, no me dejes nunca",A dangerous love affair inspires a director to create the most spectacular and bodly seductive dance film ever made. 1998 Oscar Nominee Best Foreign Language Film.,Argentina,1998-02-12,Drama,"['Mario Suárez', 'Laura Fuentes', 'Elena Flores', 'Carlos Nebbia']",
3704,Salvador,A second rated journalist from the US tries his luck in El Salvador during the military dictatorship in the 1980s.,United Kingdom,1986-04-23,Drama,"['Richard Boyle', 'Doctor Rock', 'Ambassador Thomas Kelly', 'John Cassady', 'Major Maximilliano Casanova', 'Jack Morgan', 'Cathy Moore', 'Colonel Bentley Hyde Sr.', 'Pauline Axelrod', 'Archbishop Romero', 'COlonel Julio Figueroa', 'Army Lieutenant', 'Human Rights Assistant', 'Maria', 'Human Rights Leader']",
3705,Moms' Night Out,"Yearning for an evening without their kids, some friends plan a night out. But to do this, their husbands need to watch the kids. What can go wrong?",United States of America,2014-03-25,Comedy,"['Allyson', 'Sean', 'Sondra', 'Izzy', 'Marco', 'Joey', 'Bridgette', 'Zoe', 'Pastor Ray', 'Kevin', 'Hostess', 'Glenda', 'Tattoo Desk Guy', 'DJ', 'Sergeant', 'Ronald', 'Hank', 'Restaurant Visionary', 'Brandon', 'Bailey', 'Cabbie', 'Bones']",
3706,Donnie Darko,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.",United States of America,2001-01-18,Fantasy,"['Donnie Darko', 'Gretchen Ross', 'Jim Cunningham', 'Elizabeth Darko', 'Karen Pomeroy', 'Kitty Farmer', 'Eddie Darko', 'Samantha Darko', 'Mrs. Rose Darko', 'Frank', 'Dr. Fisher', 'Dr. Lilian Thurman', 'Roberty Sparrow / Grandma Death', 'Bob Garland', 'Joanie James', 'Cherita Chen', 'Principal Cole', 'Prof. Kenneth Monnitoff', 'Susie Bates', 'Emily Bates', 'David', 'Anne Fisher', 'Sean Smith', 'Seth Devlin', 'Ronald Fisher', 'Mystery Woman', 'Ricky Danforth', 'Police Officer']",
3707,Salvando al Soldado Perez,"La vida ha llevado a Julián Pérez por caminos equivocados, pero el destino le presentará a este hombre la oportunidad de encontrar su redención cuando es enviado a la misión más peligrosa y noble de toda su vida, una misión ordenada por la única autoridad que todavía respeta, su madre, Doña Elvira. Julián debe viajar hasta el otro extremo del mundo, a un lugar llamado Irak, a traer de vuelta vivo, a su hermano menor el soldado de infantería Juan Pérez. Con la promesa hecha, Julián Pérez regresa a su natal Sinaloa donde reclutará a un comando de elite, destinado a cumplir una misión suicida: viajar a Irak y salvar al soldado Pérez.",Unknown,2011-03-18,Action,"['Rosalío', 'Carmelo', 'Eladio', 'Julian Pérez', 'Chema Díaz']",
3708,Karakter,"J.W. Katadreuffe is the son of Joba Katadreuffe and A.B. Drevenhaven. Though fully neglected by Joba, Dreverhaven ensures the succesfull career of his son. Mostly unseen, though he sues his son a few times. The son Katadreuffe succeeds, but at great costs.",Netherlands,1997-04-17,Drama,"['Dreverhaven', 'Katadreuffe', 'Joba', 'Lorna Te George']",
3709,Spun,"Over the course of three days Ross, a college dropout addicted to crystal-meth, encounters a variety of oddball folks - including a stripper named Nikki and her boyfriend, the local meth producer, The Cook - but all he really wants to do is hook up with his old girlfriend, Amy.",United States of America,2002-06-01,Comedy,"['Ross', 'The Cook', 'Nikki', 'Spider Mike', 'April Love', 'Frisbee', 'Cookie', 'The Man', 'Giggles', 'Escort', 'Angel', 'Amy', 'Fat Boy', 'Neighbor', 'Dr. K', 'Pornclerk', 'Mullet Cop', 'Moustache Cop', 'Doctor', 'Emcee', 'Bartender']",
3710,Life During Wartime,"Friends, family, and lovers struggle to find love, forgiveness, and meaning in an almost war-torn world riddled with comedy and pathos. Follows Solondz's film Happiness (1998).",United States of America,2009-10-10,Comedy,"['Helen', 'Andy', 'Joy', 'Trish', 'Allen', 'Harvey', 'Timmy', 'Bill', 'Mona', 'Jacqueline', 'Mark', 'Billy']",
3711,친절한 금자씨,"After a 13-year imprisonment for the kidnap and murder of a 6 year old boy, beautiful Lee Guem-ja starts seeking revenge on the man that was really responsible for the boy's death. With the help of fellow inmates and reunited with her daughter, she gets closer and closer to her goal. But will her actions lead to the relief she seeks?",South Korea,2005-07-29,Drama,"['Mr. Baek', 'Lee Geum-ja', 'Jenny', 'Ma-nyeo', 'So-young Woo', 'Prison Head', 'Yi-jeong Park', 'Prison Officer', 'Mr. Chang', 'Preacher', 'TV Announcer', 'Detective Choi', 'jeon-do-sa', 'Oh Su-hee', 'Geun-shik', ""Woo So-young's husband"", 'assassin 1', 'assassin 2']",
3712,"Nannerl, la soeur de Mozart","A re-imagined account of the early life of Maria Anna 'Nannerl' Mozart, five years older than Wolfgang and a musical prodigy in her own right.",France,2010-06-09,Drama,"['Nannerl Mozart', 'Léopold Mozart', 'Anna-Maria Mozart', 'Wolfgang Mozart']",
3713,Mean Machine,"Disgraced ex-England captain (Danny 'Mean Machine' Meehan) is thrown in jail for assaulting two police officers. He keeps his head down and has the opportunity to forget everything and change the lives of the prisoners. These prisoners have the chance to put one over the evil guards. The prisoners are lead by Danny and the whole of the prison, guards aside, are behind them.",United Kingdom,2001-12-26,Comedy,"['Danny Meehan', 'Doc', 'Governor', 'Burton', 'Massive', 'Trojan', 'Ratchett', 'Sykes', 'Tracey', 'Billy the Limpet', 'Bob Likely', 'Monk', 'Z', 'Barman', 'Second Barman', 'Policeman', 'Policeman', 'Hayter', 'Nitro', 'Ketch', 'Chiv', 'Mouse', 'Cigs', 'Jerome McFife']",
3714,放‧逐,"A friendship is formed between an ex-gangster, and two groups of hitmen - those who want to protect him and those who were sent to kill him.",Hong Kong,2006-09-06,Action,"['Blaze', 'Tai', 'Boss Fay', 'Wo', 'Sergeant Chen (as Richie Jen)', 'Cat', 'Jin', 'Fat (as Lam Suet)', 'Boss Keung', 'Jeff', 'Hooker', 'Uncle Fortune', 'Sergeant Shan', 'Underground Doctor', ""Sergeant Shan's driver""]",
3715,Blackthorn,"In Bolivia, Butch Cassidy (now calling himself James Blackthorne) pines for one last sight of home, an adventure that aligns him with a young robber and makes the duo a target for gangs and lawmen alike.",Bolivia,2011-08-31,Adventure,"['James', 'Yana', 'Ing. Eduardo Apodaca', 'Mackinley', 'Ivan', 'Doctor', 'Young James', 'Sundance Kid', 'Etta', 'General of the Bolivian Army', 'Caballero inglés', 'Tabernera', 'Jefe indigena', 'Lugarteniente indigena', 'Director de banco']",
3716,Lilja 4-Ever,"Lilya lives in poverty and dreams of a better life. Her mother moves to the United States and abandons her to her aunt, who neglects her. Lilya hangs out with her friends, Natasha and Volodya, who is suicidal. Desperate for money, she starts working as a prostitute, and later meets Andrei. He offers her a good job in Sweden, but when Lilya arrives her life quickly enters a downward spiral.",Denmark,2002-08-23,Crime,"['Lilja', 'Wolodja', ""Lilja's mother"", 'Aunt Anna', 'Natasha']",
3717,After.Life,"A young woman caught between life and death... and a funeral director who appears to have the gift of transitioning the dead, but might just be intent on burying her alive.",United States of America,2010-04-09,Drama,"['Eliot Deacon', 'Paul', 'Anna Taylor', 'Tom Peterson', 'Jack', 'Beatrice Taylor', 'Vincent Miller', 'Restaurant Patron', 'Susan Whitehall', 'Young Anna Taylor', 'Diane', 'Father Graham', 'Mrs. Hutton', 'Tall Kid', 'Teacher', 'Acne Kid', 'Old Woman', 'Old Woman', 'Principal', 'Neal']",
3718,Fugly,"It is a story of 4 friends - Dev, Gaurav, Aditya &amp; Devi. The cast is young &amp; fresh. They are at the cusp of their lives - The college has just about finished, but career path is yet to be set. These are the last few days of true freedom that we have all gone through, and still cherish. These friends are conscientious, they will have fun but would never cross the boundaries - They all have dreams and expectations from life, but as they say - man proposes, god disposes. Their fun filled and care free life comes to an abrupt halt, when they are faced with an extremely corrupt and seemingly fearless Police Officer. This puts a series of events in motion which will test their friendship and characters - their life becomes 'Fugly'.",India,2014-06-13,Comedy,"['R.S Chautala', 'Dev', 'Devi', 'Gaurav', 'Aditya', 'Cheeni']",
3719,One Flew Over the Cuckoo's Nest,"While serving time for insanity at a state mental hospital, implacable rabble-rouser, Randle Patrick McMurphy inspires his fellow patients to rebel against the authoritarian rule of head nurse, Mildred Ratched.",United States of America,1975-11-18,Drama,"['Randle Patrick McMurphy', 'Nurse Mildred Ratched', 'Martini', 'Harding', 'Orderly Turkle', 'Billy Bibbit', 'Taber', 'Chief Bromden', 'Dr. John Spivey', 'Ellis', 'Charlie Cheswick', 'Jim Sefelt', 'Fredrickson', 'Col. Matterson', 'Miller', 'Warren', 'Bancini', 'Beans Garfield', 'Washington', 'Hap Arlich', 'Rose', 'Candy', 'Scanlon', 'Nurse Itsu', 'Nurse Pilbow', 'Harbor Master', 'Night Supervisor', 'Ellsworth', 'Ruckley', 'Lady on Pier (uncredited)', 'Woman in Crowd on Pier (uncredited)', 'Actress on TV Screen (uncredited)', 'Captain on Shore (uncredited)']",
3720,R.L. Stine's Monsterville: The Cabinet of Souls,Teenage friends must resist the spell of an evil showman staging a house of horrors show in their small town.,United States of America,2015-09-29,Comedy,"['Beth', 'Lilith', 'Hunter', 'Andrea Payton', 'Newscaster', 'Nicole', 'Luke', 'Dr. Hysteria', 'Sheriff', 'Ms. Sarkosian', 'Nora', 'Vampire', 'Hungry Zombie', 'Zombie Teacher', 'Zombie Vendor', 'Boy in Hall', 'Hag Witch Double']",
3721,Silent Movie,"Aspiring filmmakers Mel Funn, Marty Eggs and Dom Bell go to a financially troubled studio with an idea for a silent movie. In an effort to make the movie more marketable, they attempt to recruit a number of big name stars to appear, while the studio's creditors attempt to thwart them. The film contains only one word of dialogue, spoken by an unlikely source.",United States of America,1976-06-17,Comedy,"['Mel Funn', 'Marty Eggs', 'Dom Bell', 'Studio Chief', 'Engulf', 'Devour', 'Vilma Kaplan', 'Pregnant Lady', 'Newsvendor', ""Maitre d'"", 'Studio Gate Guard', 'Intensive Care Nurse', ""Studio Chief's Secretary"", 'Himself', 'Himself', 'Herself', 'Herself', 'Himself', 'Himself']",
3722,Airlift,"When Iraq invades Kuwait in August, 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",India,2016-01-22,Thriller,"['Ranjit Katyal', 'Amrita Katyal', 'Tasneem', 'Deepti Jayarajan', 'Ibrahim Durrani', 'Kurien', 'Meher', 'Prince', 'Ashok', 'Indian Ambassador Brij', 'George Kutty', 'Poonawalla', 'Major Khalaf Bin Zayd', 'Sanjeev Kohli', '', 'External Affairs Minister', 'Bauji', 'Old Indian', ""George's Daughter""]",
3723,Anne of Green Gables,"At the turn of the century on Prince Edward Island, Matthew Cuthbert and his sister Marilla decide to take on an orphan boy as help for their farm. But they get an unexpected jolt when they're mistakenly sent a girl instead: Anne Shirley. Anne's a dreamer with an unusual point of view, far removed from Marilla's pragmatic ways, and it's only on trial that Marilla agrees to keep Anne.",United States of America,1985-12-01,Drama,"['Anne Shirley', 'Marilla Cuthbert', 'Matthew Cuthbert', 'Rachel Lynde', 'Miss Muriel Stacy', 'Diana Barry', 'Gilbert Blythe', 'Aunt Josephine']",
3724,Falcon Rising,"Chapman is an ex-marine in Brazil's slums, battling the yakuza outfit who attacked his sister and left her for dead.",United States of America,2014-09-05,Adventure,"[""John 'Falcon' Chapman"", 'Manny Ridley', 'Carlo Bororo', 'Cindy Chapman', 'Tomoe', 'Hirimoto', ""Katarina Da' Silva"", 'Police Officer', 'Nurse', 'Businessman', 'Thiago Santo', 'Yakuza Guard', 'Lionel', 'Kuka', 'Businessman', 'Maria', 'Waiter', 'Toothpick', 'Doctor', 'Bartender', 'Security Guard']",
3725,The Sweeney,"Based on the '70s UK TV show, The Sweeney is an action-packed British police thriller from the director of Football Factory. Jack Regan (Ray Winstone), a hardened cop who doesn’t play by the rules, is confronted with a criminal from his past. With sidekick George Carter (Ben Drew aka Plan B) they are put on the case of a jewellery store heist that ends in a killing. But is that killing really an execution in disguise? With pressure from his boss and the fact that Regan is having an affair with that boss’s wife, it’s not going to be easy for him to stay out of trouble.",United Kingdom,2012-09-11,Action,"['Jack Regan', 'George Carter', 'Nancy Lewis', 'Frank Haskins', 'Harry', 'Ivan Lewis', 'Francis Allen', 'DC Kara Clarke', 'DC Simon Ellis', 'Johnny Wextru', 'Evelyn Simmonds', 'DC Nathan Miller', 'Megan', 'Makin Trebolt', 'Neil', 'Doctor', 'David', 'Freddy', 'Symes', 'Mikey', 'Screw', 'Natalija Wolscat', 'Mr. Bledisloe', 'Whiting', 'Landlady', 'Reporter', 'Armed Officer', 'Young Bank Lady']",
3726,Sexy Beast,"Gary is a former gangster who has made a modest amount of money from his criminal career. Happy to put his life of crime behind him, he has retired with his wife Deedee to the sunny bliss of rural Spain, where he lives an idyllic life with his family and a few close friends. But Gary's contentment is ruptured by an unwelcome visitor from his past. Don.",Spain,2000-09-13,Crime,"['Gary „Gal“ Dove', 'Don Logan', 'Teddy Bass', 'Deedee Dove', 'Harry', 'Aitch', 'Jackie', 'Enrique']",
3727,Snabba Cash,"A three-tiered story centered around drugs and organized crime, and focused on a young man who becomes a runner for a coke dealer.",Denmark,2010-01-15,Drama,"[""Johan 'JW' Westlund"", 'Jorge', 'Mrado', 'Sophie', 'Abdulkarim', 'Radovan', 'Mahmoud', 'Nippe', 'Lovisa', 'Carlos', 'Paola', 'Fahdi']",
3728,Whale Rider,"On the east coast of New Zealand, the Whangara people believe their presence there dates back a thousand years or more to a single ancestor, Paikea, who escaped death when his canoe capsized by riding to shore on the back of a whale. From then on, Whangara chiefs, always the first-born, always male, have been considered Paikea's direct descendants. Pai, an 11-year-old girl in a patriarchal New Zealand tribe, believes she is destined to be the new chief. But her grandfather Koro is bound by tradition to pick a male leader. Pai loves Koro more than anyone in the world, but she must fight him and a thousand years of tradition to fulfill her destiny.",New Zealand,2003-01-30,Drama,"['Paikea Apirana', 'Koro', 'Nanny Flowers', 'Porourangi', 'Uncle Rawiri', 'Hemi', 'Shilo', 'Willie', 'Dog', 'Maka', 'Miro', 'Miss Parata']",
3729,Paa,"He suffers from a progeria like syndrome. Mentally he is 13 but physically he looks 5 times older. In spite of his condition, Auro is a very happy boy. He lives with his mother Vidya, who is a gynaecologist. Amol is young, progressive politician. He is a man with a mission. Auro is Amol's son. Paa is a 'rare' story about a father-son, son-father relationship.",India,2009-12-04,Drama,"['Auro', 'Amol Arte', 'Vidya Arte', 'Mr. Arte', '""Bum""(Vidya\'s mother)', 'Pratik Katare', 'Narrator']",
3730,Cargo,The story of CARGO takes place on rusty space-freighter KASSANDRA on its way to Station 42. The young medic LAURA is the only one awake on board while the rest of the crew lies frozen in hibernation sleep. In 4 months will Laura's shift be over.,Switzerland,2009-09-24,Thriller,"['Samuel Decker', 'Laura Portmann', 'Anna Lindbergh', 'Miyuki Yoshida', 'Claudio Vespucci', 'Igor Prokoff', 'Pierre Lacroix', 'Little Girl', 'Arianne Portmann', 'Klaus Bruckner']",
3731,High School Musical,"Troy (Zac Efron), the popular captain of the basketball team, and Gabriella (Vanessa Anne Hudgens), the brainy and beautiful member of the academic club, break all the rules of East High society when they secretly audition for the leads in the school's musical. As they reach for the stars and follow their dreams, everyone learns about acceptance, teamwork, and being yourself. And it's all set to fun tunes and very cool dance moves!",United States of America,2006-01-20,Comedy,"['Troy Bolton', 'Gabriella Montez', 'Sharpay Evans', 'Ryan Evans', 'Chad Danforth', 'Taylor McKessie', 'Jack Bolton', 'Ms. Darbus', 'Zeke Baylor', 'Kelsi Nielsen', 'Jason Cross', 'Principal Matsui', 'Martha Cox', 'Troy Bolton (singing voice)']",
3732,Love and Death on Long Island,"Giles De'Ath is a widower who doesn't like anything modern. He goes to movies and falls in love with film star, Ronnie Bostock. He then investigates everything about the movie and Ronnie. After that he travels to Long Island city where Ronnie lives and meets him, pretending that Ronnie is a great actor and that's why Giles admires him.",Canada,1997-01-01,Drama,"[""Giles De'Ath"", 'Ronnie Bostock', 'Mrs. Barker', ""Irving 'Irv' Buckmuller"", 'Audrey', 'Lou', 'Henry', 'Mrs. Reed']",
3733,Ночной дозор,"Among normal humans live the ""Others"" possessing various supernatural powers. They are divided up into the forces of light and the forces of the dark, who signed a truce several centuries ago to end a devastating battle. Ever since, the forces of light govern the day while the night belongs to their dark opponents. In modern day Moscow the dark Others actually roam the night as vampires while a ""Night Watch"" of light forces, among them Anton, the movie's protagonist, try to control them and limit their outrage",Russia,2004-06-27,Fantasy,"['Anton Gorodetsky', 'Geser', 'Olga', 'Svetlana', 'Alice Donnikova', 'Zavulon', 'Daria', ""Yegor's Mother"", 'Yegor', 'Kostya’s Father', 'Larisa', 'Tiger', 'Andrej', 'Ignat', 'Kostja', 'Bear', 'Simeon', '']",
